Hero_Pair,Matches,Wins,WinRate
airi-nakroth,3.56,1.0,0.2809
astrid-riktor,3.56,2.67,0.75
astrid-wisp,3.56,2.67,0.75
annette-astrid,3.56,2.67,0.75
tamyn-teemee,3.56,0.0,0.0
iggy-tamyn,3.56,1.78,0.5
astrid-biron,3.56,1.78,0.5
liliana-tamyn,3.56,0.89,0.25
butterfly-florentino,3.56,0.89,0.25
thane-zata,3.56,0.89,0.25
chaugnar-keera,3.56,1.22,0.3427
ryoma-stuart,3.55,2.0,0.5634
hayate-y'bneth,3.55,2.22,0.6254
stuart-yue,3.55,1.44,0.4056
airi-elandorr,3.55,3.55,1.0
biron-lorion,3.54,1.66,0.4689
qi-zuka,3.54,1.77,0.5
riktor-stuart,3.54,0.55,0.1554
annette-teemee,3.54,1.22,0.3446
biron-thane,3.54,2.44,0.6893
valhein-yena,3.54,1.77,0.5
taara-zephys,3.54,2.32,0.6554
annette-elsu,3.53,2.54,0.7195
natalya-wisp,3.53,2.1,0.5949
hayate-mganga,3.53,0.99,0.2805
qi-yue,3.53,0.66,0.187
eland'orr-zata,3.46,2.68,0.7746
stuart-tamyn,3.45,2.56,0.742
butterfly-enzo,3.45,2.45,0.7101
tamyn-yue,3.45,2.56,0.742
biron-flowborn,3.45,1.67,0.4841
alice-hayate,3.45,0.89,0.258
alice-billow,3.45,0.89,0.258
enzo-zephys,3.44,2.22,0.6453
biron-violet,3.44,3.44,1.0
murad-zata,3.44,1.11,0.3227
mina-tachi,3.44,0.99,0.2878
airi-ignis,3.44,1.44,0.4186
riktor-violet,3.44,2.55,0.7413
biron-mganga,3.44,1.56,0.4535
baldum-liliana,3.44,2.22,0.6453
skud-yue,3.43,2.54,0.7405
ignis-skud,3.43,2.32,0.6764
elsu-liliana,3.43,1.66,0.484
dolia-edras,3.43,0.99,0.2886
florentino-valhein,3.43,1.55,0.4519
mganga-murad,3.43,1.33,0.3878
murad-ybneth,3.43,1.21,0.3528
sinestrea-yena,3.43,1.54,0.449
capheny-maloch,3.43,1.33,0.3878
airi-wisp,3.43,3.1,0.9038
elandorr-stuart,3.42,1.88,0.5497
edras-yena,3.42,1.32,0.386
nakroth-wisp,3.34,2.45,0.7335
mina-rouie,3.34,1.78,0.5329
flowborn-wiro,3.34,2.45,0.7335
qi-y'bneth,3.34,2.45,0.7335
cresht-yena,3.34,1.67,0.5
yue-zuka,3.33,1.55,0.4655
airi-zephys,3.33,2.12,0.6366
nakroth-taara,3.33,0.89,0.2673
edras-yue,3.33,2.44,0.7327
rouie-sinestrea,3.33,1.78,0.5345
airi-hayate,3.32,2.0,0.6024
skud-taara,3.32,2.66,0.8012
ignis-stuart,3.32,1.1,0.3313
florentino-iggy,3.32,2.0,0.6024
iggy-omen,3.31,1.99,0.6012
edras-liliana,3.31,2.32,0.7009
biron-fennik,3.31,2.21,0.6677
elsu-sinestrea,3.31,2.1,0.6344
enzo-fennik,3.3,1.43,0.4333
astrid-enzo,3.23,1.78,0.5511
chaugnar-skud,3.23,3.23,1.0
alice-qi,3.23,1.67,0.517
flowborn-murad,3.23,0.78,0.2415
flowborn-nakroth,3.23,0.78,0.2415
baldum-keera,3.22,0.89,0.2764
edras-violet,3.22,0.89,0.2764
cresht-wisp,3.22,2.11,0.6553
maloch-murad,3.22,2.0,0.6211
rouie-zuka,3.22,2.11,0.6553
dolia-nakroth,3.22,0.89,0.2764
dolia-zuka,3.22,1.55,0.4814
maloch-omen,3.21,0.77,0.2399
dolia-volkath,3.21,1.33,0.4143
mganga-qi,3.21,0.77,0.2399
riktor-toro,3.21,0.55,0.1713
rouie-thane,3.21,0.78,0.243
florentino-zephys,3.21,1.1,0.3427
mina-zephys,3.2,1.65,0.5156
fennik-lorion,3.2,0.99,0.3094
liliana-volkath,3.13,1.34,0.4281
eland'orr-wiro,3.12,1.67,0.5353
sinestrea-y'bneth,3.12,3.12,1.0
flowborn-mganga,3.12,0.78,0.25
enzo-flowborn,3.12,1.67,0.5353
dolia-flowborn,3.12,0.89,0.2853
eland'orr-rouie,3.12,0.89,0.2853
eland'orr-mganga,3.12,2.45,0.7853
capheny-yue,3.11,0.33,0.1061
violet-yena,3.11,1.45,0.4662
maloch-yena,3.11,1.44,0.463
omega-stuart,3.11,1.11,0.3569
chaugnar-qi,3.11,1.33,0.4277
baldum-capheny,3.11,2.0,0.6431
keera-liliana,3.1,0.33,0.1065
riktor-wisp,3.1,2.1,0.6774
valhein-zephys,3.1,2.0,0.6452
ybneth-yena,3.1,1.22,0.3935
iggy-yena,3.09,1.88,0.6084
omen-tachi,3.09,1.43,0.4628
florentino-mganga,3.09,1.21,0.3916
billow-fennik,3.08,1.54,0.5
edras-fennik,3.08,2.42,0.7857
eland'orr-richter,3.02,1.9,0.6291
hayate-volkath,3.01,0.78,0.2591
nakroth-skud,3.01,1.11,0.3688
violet-yue,3.0,1.22,0.4067
baldum-violet,3.0,2.22,0.74
florentino-violet,3.0,1.89,0.63
liliana-zephys,3.0,1.22,0.4067
iggy-zuka,3.0,0.56,0.1867
cresht-edras,3.0,2.44,0.8133
enzo-yue,3.0,2.11,0.7033
teemee-yue,2.99,1.22,0.408
thane-yena,2.99,0.66,0.2207
liliana-wisp,2.99,2.22,0.7425
natalya-toro,2.99,0.66,0.2207
wisp-zuka,2.99,2.21,0.7391
liliana-moren,2.99,1.11,0.3712
sinestrea-yue,2.99,0.66,0.2207
airi-elsu,2.99,1.44,0.4816
annette-keera,2.99,1.44,0.4816
teemee-valhein,2.98,2.1,0.7047
enzo-valhein,2.98,1.33,0.4463
elsu-ignis,2.98,0.88,0.2953
elsu-thane,2.98,1.77,0.594
keera-maloch,2.98,1.65,0.5537
fennik-qi,2.97,0.99,0.3333
keera-yena,2.97,1.54,0.5185
marja-y'bneth,2.9,2.68,0.9241
alice-volkath,2.9,0.78,0.269
airi-edras,2.89,2.56,0.8858
taara-toro,2.89,0.33,0.1142
maloch-toro,2.89,2.11,0.7301
ryoma-yue,2.89,0.89,0.308
biron-tachi,2.88,1.33,0.4618
elandorr-omen,2.88,1.11,0.3854
enzo-nakroth,2.88,0.44,0.1528
annette-zephys,2.88,0.55,0.191
enzo-liliana,2.88,2.11,0.7326
mina-ryoma,2.87,1.77,0.6167
edras-mganga,2.87,0.99,0.3449
baldum-yena,2.87,1.44,0.5017
fennik-yena,2.87,2.2,0.7666
billow-florentino,2.87,1.77,0.6167
krizzix-marja,2.87,1.65,0.5749
fennik-zata,2.87,1.32,0.4599
edras-taara,2.87,1.88,0.6551
stuart-ybneth,2.87,0.88,0.3066
billow-omen,2.87,1.65,0.5749
fennik-mganga,2.86,0.66,0.2308
aya-fennik,2.86,1.76,0.6154
richter-zata,2.79,2.23,0.7993
gildur-y'bneth,2.79,1.34,0.4803
volkath-zata,2.79,1.34,0.4803
yena-zuka,2.79,0.56,0.2007
mganga-richter,2.79,1.67,0.5986
y'bneth-zephys,2.79,2.12,0.7599
flowborn-gildur,2.79,0.78,0.2796
billow-richter,2.79,0.89,0.319
skud-volkath,2.78,1.44,0.518
sinestrea-valhein,2.78,1.56,0.5612
ryoma-y'bneth,2.78,1.89,0.6799
butterfly-stuart,2.78,1.89,0.6799
capheny-thane,2.77,1.55,0.5596
florentino-marja,2.77,0.99,0.3574
airi-yue,2.77,0.89,0.3213
valhein-zuka,2.77,1.22,0.4404
nakroth-qi,2.77,1.22,0.4404
baldum-zata,2.77,1.22,0.4404
dolia-mina,2.77,0.88,0.3177
elsu-gildur,2.75,1.32,0.48
eland'orr-mina,2.67,1.56,0.5843
astrid-chaugnar,2.67,2.67,1.0
butterfly-flowborn,2.67,0.89,0.3333
flowborn-riktor,2.67,0.89,0.3333
mina-tamyn,2.67,0.89,0.3333
gildur-ryoma,2.67,1.22,0.4569
eland'orr-yue,2.67,0.89,0.3333
cresht-zuka,2.67,0.89,0.3333
riktor-rouie,2.67,2.67,1.0
cresht-qi,2.67,1.89,0.7079
rouie-taara,2.67,0.0,0.0
tamyn-thane,2.67,0.0,0.0
tamyn-wiro,2.67,0.89,0.3333
sinestrea-wiro,2.67,1.22,0.4569
alice-maloch,2.67,0.89,0.3333
alice-nakroth,2.67,0.89,0.3333
astrid-thane,2.67,2.67,1.0
flowborn-ybneth,2.67,0.89,0.3333
skud-tamyn,2.67,1.78,0.6667
gildur-violet,2.67,0.0,0.0
alice-biron,2.67,1.78,0.6667
cresht-stuart,2.66,1.22,0.4586
cresht-zephys,2.66,0.0,0.0
mganga-mina,2.66,2.33,0.8759
florentino-hayate,2.66,0.66,0.2481
florentino-wisp,2.66,1.11,0.4173
fennik-keera,2.65,0.44,0.166
elandorr-zephys,2.65,0.77,0.2906
riktor-valhein,2.65,0.66,0.2491
butterfly-elandorr,2.56,0.78,0.3047
alice-ryoma,2.56,1.78,0.6953
murad-tamyn,2.56,1.67,0.6523
tamyn-zata,2.56,1.78,0.6953
skud-violet,2.56,0.89,0.3477
mina-omega,2.56,0.0,0.0
alice-tachi,2.56,1.67,0.6523
keera-y'bneth,2.56,0.56,0.2188
skud-zuka,2.56,0.22,0.0859
astrid-y'bneth,2.56,2.56,1.0
baldum-billow,2.56,1.11,0.4336
alice-y'bneth,2.56,1.67,0.6523
ignis-murad,2.55,1.44,0.5647
rouie-valhein,2.55,2.22,0.8706
volkath-wisp,2.55,2.22,0.8706
omen-valhein,2.55,2.22,0.8706
edras-thane,2.54,1.55,0.6102
airi-dolia,2.54,1.55,0.6102
keera-omen,2.54,1.55,0.6102
baldum-marja,2.54,1.65,0.6496
florentino-teemee,2.54,1.99,0.7835
annette-yena,2.54,1.11,0.437
elsu-keera,2.53,0.44,0.1739
maloch-qi,2.53,0.99,0.3913
iggy-y'bneth,2.46,2.46,1.0
ryoma-volkath,2.45,1.34,0.5469
butterfly-wisp,2.45,1.56,0.6367
ryoma-wiro,2.45,2.45,1.0
alice-wiro,2.45,1.56,0.6367
wiro-wisp,2.45,1.11,0.4531
cresht-nakroth,2.45,0.78,0.3184
alice-baldum,2.45,1.78,0.7265
keera-ryoma,2.44,0.78,0.3197
gildur-taara,2.44,0.55,0.2254
krizzix-valhein,2.44,1.22,0.5
riktor-yue,2.44,0.66,0.2705
airi-maloch,2.44,0.0,0.0
maloch-mganga,2.43,0.77,0.3169
billow-dolia,2.43,0.67,0.2757
natalya-ybneth,2.43,1.44,0.5926
aya-sinestrea,2.43,1.77,0.7284
fennik-ybneth,2.42,1.43,0.5909
edras-teemee,2.42,1.1,0.4545
fennik-krizzix,2.42,1.32,0.5455
enzo-volkath,2.34,1.67,0.7137
astrid-ignis,2.34,2.34,1.0
airi-butterfly,2.34,2.23,0.953
alice-teemee,2.34,1.56,0.6667
astrid-yena,2.34,0.56,0.2393
maloch-riktor,2.33,0.11,0.0472
keera-skud,2.33,1.67,0.7167
krizzix-violet,2.33,2.11,0.9056
annette-krizzix,2.33,2.33,1.0
taara-zuka,2.33,0.0,0.0
dyadia-stuart,2.33,0.33,0.1416
marja-murad,2.33,1.22,0.5236
mganga-yan,2.32,0.99,0.4267
keera-murad,2.32,1.11,0.4784
biron-natalya,2.32,0.89,0.3836
elandorr-elsu,2.32,0.44,0.1897
hayate-krizzix,2.32,2.21,0.9526
fennik-ignis,2.31,1.1,0.4762
rouie-ybneth,2.31,0.99,0.4286
florentino-sinestrea,2.31,1.98,0.8571
liliana-valhein,2.31,0.66,0.2857
marja-moren,2.31,1.32,0.5714
flowborn-volkath,2.23,1.56,0.6996
heino-violet,2.23,1.34,0.6009
eland'orr-qi,2.23,1.45,0.6502
eland'orr-yena,2.23,1.45,0.6502
y'bneth-yena,2.23,0.56,0.2511
alice-capheny,2.23,0.89,0.3991
alice-eland'orr,2.23,2.23,1.0
volkath-y'bneth,2.23,2.23,1.0
dyadia-nakroth,2.23,0.0,0.0
gildur-tachi,2.22,0.11,0.0495
aoi-marja,2.22,0.22,0.0991
gildur-marja,2.22,0.44,0.1982
stuart-wiro,2.22,0.55,0.2477
heino-toro,2.22,1.33,0.5991
stuart-volkath,2.22,0.33,0.1486
thane-zephys,2.22,1.78,0.8018
mina-thane,2.22,0.89,0.4009
marja-natalya,2.21,0.77,0.3484
florentino-taara,2.21,0.99,0.448
edras-elsu,2.21,0.66,0.2986
annette-volkath,2.21,1.55,0.7014
dolia-keera,2.21,0.66,0.2986
annette-murad,2.21,2.21,1.0
capheny-murad,2.21,1.33,0.6018
fennik-zephys,2.21,0.77,0.3484
aya-yena,2.2,1.1,0.5
butterfly-violet,2.12,1.34,0.6321
astrid-eland'orr,2.12,1.56,0.7358
max-zata,2.12,0.56,0.2642
richter-teemee,2.12,1.56,0.7358
mganga-y'bneth,2.12,1.34,0.6321
lorion-xeniel,2.12,0.78,0.3679
richter-violet,2.12,0.78,0.3679
baldum-taara,2.12,0.67,0.316
chaugnar-riktor,2.11,2.11,1.0
qi-volkath,2.11,1.78,0.8436
butterfly-marja,2.11,0.33,0.1564
dyadia-elandorr,2.11,0.0,0.0
maloch-skud,2.11,2.11,1.0
annette-moren,2.11,0.0,0.0
cresht-valhein,2.11,0.89,0.4218
elandorr-nakroth,2.11,0.33,0.1564
murad-ryoma,2.11,1.22,0.5782
chaugnar-hayate,2.11,2.11,1.0
cresht-mina,2.11,0.33,0.1564
annette-qi,2.1,0.66,0.3143
omen-zata,2.1,0.99,0.4714
airi-mganga,2.1,1.0,0.4762
enzo-riktor,2.1,1.0,0.4762
moren-zephys,2.1,0.33,0.1571
valhein-wiro,2.1,1.22,0.581
airi-aya,2.1,1.88,0.8952
omen-taara,2.1,0.44,0.2095
mganga-omen,2.1,0.99,0.4714
omen-wisp,2.09,1.54,0.7368
edras-stuart,2.09,1.43,0.6842
florentino-rouie,2.09,0.88,0.4211
biron-stuart,2.09,0.88,0.4211
florentino-y'bneth,2.01,0.56,0.2786
enzo-gildur,2.01,0.56,0.2786
liliana-y'bneth,2.01,0.0,0.0
mina-skud,2.0,0.33,0.165
tachi-y'bneth,2.0,1.11,0.555
nakroth-yena,2.0,0.33,0.165
dolia-kahlii,2.0,0.22,0.11
ignis-yena,2.0,0.0,0.0
dolia-ignis,2.0,0.33,0.165
lorion-wiro,2.0,1.22,0.61
chaugnar-sinestrea,2.0,1.33,0.665
wiro-zephys,2.0,0.89,0.445
billow-omega,2.0,0.33,0.165
florentino-krizzix,1.99,1.88,0.9447
mina-zuka,1.99,0.77,0.3869
baldum-qi,1.99,0.66,0.3317
baldum-stuart,1.99,0.66,0.3317
heino-stuart,1.99,0.55,0.2764
lorion-volkath,1.99,1.66,0.8342
krizzix-stuart,1.99,1.66,0.8342
edras-mina,1.99,1.33,0.6683
capheny-omen,1.99,0.99,0.4975
keera-riktor,1.99,1.33,0.6683
moren-yue,1.98,1.32,0.6667
elsu-florentino,1.98,0.88,0.4444
krizzix-rouie,1.98,0.88,0.4444
hayate-omen,1.98,1.32,0.6667
yena-zephys,1.98,0.55,0.2778
elandorr-hayate,1.98,0.88,0.4444
fennik-florentino,1.98,0.77,0.3889
edras-ignis,1.98,1.65,0.8333
capheny-volkath,1.9,0.67,0.3526
aoi-wisp,1.89,0.89,0.4709
gildur-zephys,1.89,1.33,0.7037
gildur-thane,1.89,0.0,0.0
airi-zata,1.89,0.33,0.1746
billow-xeniel,1.89,1.0,0.5291
dyadia-violet,1.89,1.0,0.5291
wisp-y'bneth,1.89,0.67,0.3545
marja-mina,1.88,0.66,0.3511
elsu-zata,1.88,0.89,0.4734
lorion-omen,1.88,0.99,0.5266
keera-violet,1.88,0.77,0.4096
marja-qi,1.88,1.77,0.9415
dolia-florentino,1.88,0.55,0.2926
riktor-thane,1.88,0.33,0.1755
aya-qi,1.88,0.11,0.0585
gildur-yena,1.88,0.22,0.117
edras-florentino,1.88,0.0,0.0
moren-skud,1.88,0.66,0.3511
moren-ryoma,1.88,0.0,0.0
gildur-qi,1.88,0.33,0.1755
marja-omen,1.87,1.54,0.8235
aya-murad,1.87,1.1,0.5882
dyadia-skud,1.79,0.0,0.0
arum-elandorr,1.78,0.89,0.5
darcy-toro,1.78,0.89,0.5
richter-valhein,1.78,1.67,0.9382
alice-edras,1.78,0.89,0.5
nakroth-yue,1.78,0.89,0.5
nakroth-wiro,1.78,0.89,0.5
butterfly-hayate,1.78,0.0,0.0
baldum-tamyn,1.78,1.78,1.0
krizzix-tamyn,1.78,1.78,1.0
dyadia-maloch,1.78,0.0,0.0
tamyn-valhein,1.78,0.89,0.5
butterfly-ybneth,1.78,0.0,0.0
max-valhein,1.78,0.89,0.5
astrid-wiro,1.78,0.89,0.5
biron-wiro,1.78,0.89,0.5
murad-qi,1.78,0.89,0.5
elsu-wiro,1.78,0.0,0.0
arum-astrid,1.78,0.89,0.5
alice-dolia,1.78,0.89,0.5
maloch-teemee,1.78,0.78,0.4382
flowborn-yue,1.78,0.89,0.5
butterfly-mina,1.78,0.0,0.0
chaugnar-murad,1.78,1.78,1.0
chaugnar-iggy,1.78,1.78,1.0
maloch-tamyn,1.78,0.89,0.5
alice-riktor,1.78,0.89,0.5
cresht-yue,1.78,0.0,0.0
violet-volkath,1.78,1.78,1.0
wiro-yan,1.78,0.89,0.5
murad-nakroth,1.78,1.78,1.0
baldum-hayate,1.78,0.89,0.5
astrid-valhein,1.78,1.78,1.0
omen-sinestrea,1.78,0.89,0.5
aoi-iggy,1.78,1.78,1.0
astrid-krizzix,1.78,1.78,1.0
dolia-tamyn,1.78,0.89,0.5
omen-teemee,1.77,0.66,0.3729
moren-murad,1.77,0.66,0.3729
moren-ybneth,1.77,0.33,0.1864
stuart-yan,1.77,0.22,0.1243
baldum-iggy,1.77,0.66,0.3729
annette-enzo,1.77,0.66,0.3729
moren-nakroth,1.77,1.11,0.6271
heino-thane,1.77,1.22,0.6893
krizzix-skud,1.77,1.11,0.6271
baldum-fennik,1.77,1.22,0.6893
gildur-teemee,1.77,0.55,0.3107
annette-fennik,1.76,0.55,0.3125
gildur-hayate,1.76,1.32,0.75
fennik-murad,1.76,0.55,0.3125
volkath-yena,1.68,0.56,0.3333
eland'orr-gildur,1.68,1.12,0.6667
billow-volkath,1.68,0.56,0.3333
rouie-volkath,1.67,1.0,0.5988
taara-wonder woman,1.67,0.0,0.0
flowborn-krizzix,1.67,0.78,0.4671
omega-zephys,1.67,0.0,0.0
alice-tamyn,1.67,1.67,1.0
rouie-violet,1.67,1.67,1.0
hayate-xeniel,1.67,0.0,0.0
heino-zephys,1.67,0.89,0.5329
gildur-wisp,1.67,0.78,0.4671
aoi-florentino,1.67,1.45,0.8683
skud-yan,1.67,0.0,0.0
aoi-teemee,1.67,0.89,0.5329
butterfly-zata,1.67,0.78,0.4671
eland'orr-teemee,1.67,1.56,0.9341
eland'orr-liliana,1.67,1.67,1.0
violet-y'bneth,1.67,1.67,1.0
omen-violet,1.67,0.89,0.5329
rouie-ryoma,1.67,1.67,1.0
butterfly-mganga,1.67,1.56,0.9341
butterfly-skud,1.67,0.78,0.4671
heino-ryoma,1.67,1.34,0.8024
riktor-wiro,1.67,0.89,0.5329
cresht-heino,1.67,0.0,0.0
krizzix-mganga,1.66,0.89,0.5361
elsu-riktor,1.66,1.55,0.9337
skud-thane,1.66,0.33,0.1988
stuart-zuka,1.66,0.55,0.3313
riktor-zuka,1.66,1.66,1.0
chaugnar-mganga,1.66,0.77,0.4639
taara-volkath,1.66,1.33,0.8012
elandorr-volkath,1.66,1.0,0.6024
biron-dyadia,1.66,0.33,0.1988
chaugnar-marja,1.66,0.99,0.5964
riktor-taara,1.66,0.55,0.3313
marja-volkath,1.66,0.89,0.5361
ignis-mina,1.66,0.33,0.1988
enzo-murad,1.66,1.11,0.6687
krizzix-liliana,1.66,1.33,0.8012
baldum-valhein,1.65,1.1,0.6667
enzo-natalya,1.65,0.55,0.3333
krizzix-lorion,1.65,1.1,0.6667
elandorr-wisp,1.65,0.66,0.4
airi-ryoma,1.56,1.56,1.0
y'bneth-zata,1.56,0.78,0.5
volkath-wiro,1.56,1.56,1.0
aoi-ignis,1.56,0.0,0.0
ignis-wiro,1.56,0.78,0.5
butterfly-cresht,1.56,0.67,0.4295
omega-omen,1.56,0.78,0.5
y'bneth-zanis,1.56,0.67,0.4295
aoi-stuart,1.56,0.0,0.0
airi-gildur,1.56,0.78,0.5
alice-richter,1.56,0.78,0.5
eland'orr-ignis,1.56,1.56,1.0
alice-murad,1.56,1.56,1.0
eland'orr-krizzix,1.56,1.56,1.0
eland'orr-nakroth,1.56,0.67,0.4295
richter-stuart,1.56,0.78,0.5
thane-volkath,1.56,0.78,0.5
tachi-tel'annas,1.56,0.0,0.0
maloch-richter,1.56,1.56,1.0
billow-wiro,1.56,0.89,0.5705
flowborn mm-teemee,1.56,0.0,0.0
cresht-rouie,1.55,0.66,0.4258
maloch-taara,1.55,0.33,0.2129
mina-teemee,1.55,0.88,0.5677
aya-hayate,1.55,0.78,0.5032
nakroth-ybneth,1.55,0.0,0.0
edras-omen,1.55,1.22,0.7871
airi-enzo,1.55,0.11,0.071
capheny-gildur,1.55,0.22,0.1419
baldum-elandorr,1.55,0.33,0.2129
billow-edras,1.55,1.55,1.0
edras-krizzix,1.55,1.55,1.0
natalya-skud,1.55,0.44,0.2839
moren-sinestrea,1.55,0.33,0.2129
sephera-ybneth,1.55,0.33,0.2129
baldum-zephys,1.55,1.22,0.7871
wiro-yue,1.55,0.0,0.0
ignis-nakroth,1.55,0.78,0.5032
goverra-zuka,1.55,0.77,0.4968
natalya-tachi,1.54,0.88,0.5714
enzo-toro,1.54,0.88,0.5714
elandorr-valhein,1.54,0.66,0.4286
heino-qi,1.54,0.11,0.0714
capheny-florentino,1.54,0.99,0.6429
capheny-krizzix,1.54,0.66,0.4286
elsu-zephys,1.54,1.1,0.7143
violet-wonder woman,1.45,0.78,0.5379
butterfly-eland'orr,1.45,1.45,1.0
enzo-wonder woman,1.45,0.78,0.5379
eland'orr-zuka,1.45,0.56,0.3862
hayate-richter,1.45,0.89,0.6138
astrid-mganga,1.45,0.89,0.6138
edras-eland'orr,1.45,0.89,0.6138
alice-taara,1.45,0.78,0.5379
fennik-yue,1.44,0.66,0.4583
moren-zata,1.44,0.33,0.2292
omen-toro,1.44,0.33,0.2292
mganga-volkath,1.44,1.11,0.7708
gildur-toro,1.44,1.11,0.7708
aoi-lorion,1.44,0.66,0.4583
airi-fennik,1.44,0.0,0.0
heino-marja,1.44,0.66,0.4583
elandorr-zuka,1.44,0.33,0.2292
mganga-ybneth,1.43,0.77,0.5385
mganga-riktor,1.43,0.77,0.5385
elsu-murad,1.43,0.77,0.5385
krizzix-yena,1.43,0.66,0.4615
skud-zephys,1.43,0.66,0.4615
hayate-natalya,1.43,0.44,0.3077
fennik-mina,1.43,1.1,0.7692
chaugnar-zephys,1.43,1.1,0.7692
cresht-richter,1.34,0.0,0.0
eland'orr-thane,1.34,0.56,0.4179
richter-tachi,1.34,1.34,1.0
lorion-richter,1.34,0.0,0.0
enzo-tel'annas,1.34,0.56,0.4179
eland'orr-murad,1.34,0.67,0.5
goverra-omen,1.34,0.56,0.4179
billow-tel'annas,1.34,0.56,0.4179
eland'orr-flowborn,1.34,0.67,0.5
aoi-flowborn,1.34,0.56,0.4179
lorion-tel'annas,1.34,0.56,0.4179
eland'orr-volkath,1.34,1.34,1.0
capheny-xeniel,1.34,0.78,0.5821
dyadia-omen,1.34,0.56,0.4179
keera-mina,1.33,0.33,0.2481
capheny-natalya,1.33,0.44,0.3308
dyadia-riktor,1.33,0.44,0.3308
krizzix-qi,1.33,1.33,1.0
omen-volkath,1.33,0.33,0.2481
azzenka-billow,1.33,0.89,0.6692
airi-volkath,1.33,1.33,1.0
annette-edras,1.33,1.0,0.7519
yan-zata,1.33,0.0,0.0
florentino-yue,1.33,0.11,0.0827
aya-marja,1.33,1.33,1.0
mina-sinestrea,1.33,1.33,1.0
omen-zuka,1.33,0.33,0.2481
heino-wisp,1.33,0.33,0.2481
airi-taara,1.33,1.11,0.8346
dyadia-yena,1.33,0.89,0.6692
elandorr-murad,1.33,0.89,0.6692
violet-zuka,1.33,0.89,0.6692
goverra-wisp,1.33,0.44,0.3308
baldum-mganga,1.33,1.0,0.7519
ignis-riktor,1.33,0.0,0.0
enzo-maloch,1.33,0.22,0.1654
biron-zuka,1.33,0.78,0.5865
qi-tulen,1.33,0.0,0.0
mganga-moren,1.32,0.33,0.25
volkath-ybneth,1.32,0.99,0.75
biron-moren,1.32,0.33,0.25
edras-moren,1.32,0.66,0.5
lorion-moren,1.32,0.66,0.5
billow-moren,1.32,0.99,0.75
baldum-edras,1.32,0.66,0.5
edras-qi,1.32,0.66,0.5
aya-tachi,1.32,0.77,0.5833
keera-moren,1.32,0.99,0.75
krizzix-zephys,1.32,0.55,0.4167
liliana-xeniel,1.32,0.66,0.5
aya-skud,1.32,0.66,0.5
slimz-zata,1.32,0.66,0.5
baldum-rouie,1.32,0.66,0.5
baldum-tachi,1.32,0.77,0.5833
edras-riktor,1.32,0.66,0.5
omen-ybneth,1.32,0.66,0.5
raz-ryoma,1.32,0.88,0.6667
gildur-ybneth,1.32,0.88,0.6667
dolia-jinnar,1.32,0.66,0.5
elandorr-gildur,1.32,0.11,0.0833
telannas-ybneth,1.32,0.66,0.5
fennik-omen,1.32,0.33,0.25
capheny-dyadia,1.23,0.0,0.0
eland'orr-zephys,1.23,0.56,0.4553
dolia-max,1.23,0.56,0.4553
kriknak-y'bneth,1.23,1.23,1.0
enzo-omen,1.22,1.22,1.0
bolt baron-valhein,1.22,0.89,0.7295
krizzix-yue,1.22,0.33,0.2705
cresht-errol,1.22,0.33,0.2705
toro-volkath,1.22,0.89,0.7295
capheny-yan,1.22,0.22,0.1803
chaugnar-zuka,1.22,0.89,0.7295
liliana-omega,1.22,0.0,0.0
azzenka-dolia,1.22,0.89,0.7295
dolia-iggy,1.22,0.89,0.7295
annette-baldum,1.22,0.33,0.2705
eland'orr-maloch,1.22,1.22,1.0
ming-valhein,1.22,0.89,0.7295
dolia-toro,1.22,0.0,0.0
moren-tachi,1.22,0.0,0.0
ming-toro,1.22,1.22,1.0
baldum-yue,1.22,0.33,0.2705
annette-yan,1.22,0.22,0.1803
liliana-riktor,1.22,1.22,1.0
florentino-sephera,1.22,0.0,0.0
omen-yue,1.22,1.22,1.0
gildur-skud,1.22,0.89,0.7295
airi-marja,1.22,0.33,0.2705
marja-slimz,1.22,0.89,0.7295
biron-nakroth,1.22,0.0,0.0
qi-slimz,1.22,1.22,1.0
mina-wiro,1.22,0.33,0.2705
baldum-sinestrea,1.22,1.22,1.0
arum-yue,1.22,0.89,0.7295
omen-zephys,1.22,1.22,1.0
fennik-nakroth,1.22,0.33,0.2705
marja-xeniel,1.22,0.33,0.2705
dyadia-valhein,1.22,0.0,0.0
keera-tulen,1.22,0.0,0.0
enzo-yan,1.22,0.22,0.1803
elsu-yue,1.22,0.89,0.7295
tachi-xeniel,1.22,0.33,0.2705
capheny-goverra,1.22,0.44,0.3607
annette-zuka,1.22,0.33,0.2705
jinnar-keera,1.21,0.66,0.5455
ignis-maloch,1.21,0.33,0.2727
elsu-lorion,1.21,0.44,0.3636
elandorr-heino,1.21,0.44,0.3636
taara-yena,1.21,0.66,0.5455
iggy-maloch,1.21,0.0,0.0
keera-natalya,1.21,0.0,0.0
aya-stuart,1.21,0.66,0.5455
biron-taara,1.21,0.33,0.2727
natalya-valhein,1.21,0.44,0.3636
florentino-thane,1.21,0.44,0.3636
fennik-thane,1.21,0.55,0.4545
krixi-valhein,1.12,0.0,0.0
richter-y'bneth,1.12,0.56,0.5
keera-omega,1.11,0.78,0.7027
cresht-riktor,1.11,0.0,0.0
gildur-riktor,1.11,0.11,0.0991
murad-violet,1.11,0.0,0.0
elandorr-kahlii,1.11,0.0,0.0
azzenka-ybneth,1.11,1.11,1.0
