Hero_Pair,Matches,Wins,WinRate
airi-iggy,8.22,4.9,0.5961
billow-maloch,8.2,4.66,0.5683
billow-cresht,8.13,2.34,0.2878
chaugnar-rouie,8.12,7.56,0.931
billow-mina,8.11,5.44,0.6708
murad-wisp,8.1,4.44,0.5481
dolia-maloch,8.08,2.87,0.3552
flowborn-toro,8.02,2.12,0.2643
wisp-zata,7.99,4.66,0.5832
capheny-ryoma,7.99,5.33,0.6671
lorion-ryoma,7.99,3.22,0.403
enzo-zata,7.99,4.56,0.5707
florentino-liliana,7.99,2.55,0.3191
enzo-marja,7.97,3.33,0.4178
marja-taara,7.97,3.97,0.4981
astrid-capheny,7.9,4.34,0.5494
cresht-elandorr,7.9,2.45,0.3101
ryoma-zata,7.89,4.44,0.5627
tachi-thane,7.88,5.44,0.6904
hayate-zata,7.87,4.87,0.6188
capheny-yena,7.86,2.88,0.3664
lorion-skud,7.86,4.1,0.5216
flowborn-teemee,7.8,4.46,0.5718
rouie-wiro,7.79,2.89,0.371
marja-mganga,7.78,3.34,0.4293
valhein-zata,7.77,3.77,0.4852
rouie-wisp,7.77,5.22,0.6718
liliana-stuart,7.77,0.99,0.1274
biron-toro,7.77,4.33,0.5573
liliana-teemee,7.77,2.55,0.3282
skud-ybneth,7.76,4.88,0.6289
enzo-stuart,7.75,4.1,0.529
biron-ybneth,7.75,3.43,0.4426
keera-wisp,7.74,3.43,0.4432
dolia-violet,7.68,6.01,0.7826
annette-sinestrea,7.66,5.0,0.6527
lorion-toro,7.64,4.09,0.5353
lorion-qi,7.63,4.2,0.5505
airi-alice,7.57,4.79,0.6328
dolia-taara,7.56,4.11,0.5437
maloch-zephys,7.55,1.55,0.2053
airi-tachi,7.54,2.99,0.3966
lorion-sinestrea,7.54,4.77,0.6326
taara-tachi,7.53,4.31,0.5724
alice-cresht,7.46,4.23,0.567
skud-zata,7.44,4.66,0.6263
capheny-liliana,7.44,3.22,0.4328
capheny-mganga,7.43,5.0,0.6729
billow-taara,7.43,3.88,0.5222
edras-marja,7.4,4.3,0.5811
liliana-marja,7.4,3.42,0.4622
fennik-marja,7.39,3.08,0.4168
aya-toro,7.38,3.97,0.5379
airi-flowborn,7.36,4.24,0.5761
airi-violet,7.34,4.12,0.5613
rouie-tachi,7.33,2.22,0.3029
tachi-teemee,7.32,2.78,0.3798
annette-dolia,7.32,4.88,0.6667
annette-stuart,7.32,4.88,0.6667
mganga-tachi,7.32,3.88,0.5301
dolia-hayate,7.31,3.2,0.4378
ignis-valhein,7.31,3.11,0.4254
elandorr-thane,7.31,5.44,0.7442
cresht-lorion,7.24,2.56,0.3536
florentino-flowborn,7.24,3.12,0.4309
alice-skud,7.24,5.01,0.692
marja-sinestrea,7.21,4.77,0.6616
nakroth-toro,7.21,3.1,0.43
capheny-dolia,7.21,2.44,0.3384
stuart-zephys,7.2,1.77,0.2458
lorion-murad,7.2,2.77,0.3847
keera-valhein,7.2,3.21,0.4458
billow-biron,7.19,4.65,0.6467
ignis-tachi,7.19,2.54,0.3533
hayate-tachi,7.19,4.65,0.6467
edras-rouie,7.19,2.54,0.3533
teemee-violet,7.12,2.66,0.3736
annette-tamyn,7.12,4.45,0.625
biron-capheny,7.11,2.78,0.391
ryoma-teemee,7.1,2.33,0.3282
elandorr-rouie,7.1,4.66,0.6563
iggy-ryoma,7.09,3.43,0.4838
florentino-stuart,7.09,3.54,0.4993
maloch-tachi,7.09,4.21,0.5938
biron-zata,7.09,3.22,0.4542
iggy-zephys,7.08,3.31,0.4675
capheny-edras,7.08,2.66,0.3757
maloch-rouie,7.08,2.21,0.3121
iggy-qi,7.07,5.31,0.7511
alice-sinestrea,7.01,6.12,0.873
astrid-skud,7.01,5.23,0.7461
enzo-violet,7.01,3.56,0.5078
astrid-liliana,7.01,2.56,0.3652
tamyn-violet,7.01,3.56,0.5078
dolia-riktor,7.0,2.89,0.4129
iggy-valhein,6.99,3.99,0.5708
sinestrea-ybneth,6.98,4.54,0.6504
airi-stuart,6.98,2.32,0.3324
elandorr-taara,6.97,2.65,0.3802
qi-ybneth,6.97,2.87,0.4118
hayate-taara,6.97,3.43,0.4921
lorion-valhein,6.94,3.86,0.5562
cresht-eland'orr,6.91,3.01,0.4356
flowborn-sinestrea,6.9,4.23,0.613
capheny-zuka,6.89,3.0,0.4354
liliana-taara,6.88,4.77,0.6933
toro-yue,6.88,2.44,0.3547
thane-wisp,6.88,3.44,0.5
thane-valhein,6.88,3.55,0.516
hayate-liliana,6.87,3.1,0.4512
capheny-taara,6.87,2.88,0.4192
stuart-taara,6.86,1.87,0.2726
valhein-ybneth,6.85,3.87,0.565
flowborn-zata,6.79,2.67,0.3932
astrid-teemee,6.79,1.78,0.2622
elandorr-ryoma,6.78,2.67,0.3938
mina-ybneth,6.77,3.44,0.5081
maloch-marja,6.77,3.1,0.4579
murad-rouie,6.76,4.88,0.7219
iggy-keera,6.76,3.66,0.5414
lorion-stuart,6.75,1.43,0.2119
keera-teemee,6.75,2.99,0.443
capheny-iggy,6.75,4.87,0.7215
qi-stuart,6.74,4.1,0.6083
elsu-iggy,6.74,3.76,0.5579
lorion-y'bneth,6.69,6.36,0.9507
enzo-tachi,6.67,2.89,0.4333
elandorr-sinestrea,6.67,5.34,0.8006
airi-lorion,6.67,4.67,0.7001
maloch-valhein,6.66,4.55,0.6832
liliana-ybneth,6.66,2.33,0.3498
elandorr-riktor,6.66,2.99,0.4489
ignis-qi,6.65,3.23,0.4857
ignis-teemee,6.64,2.65,0.3991
teemee-yena,6.64,3.76,0.5663
qi-sinestrea,6.64,4.88,0.7349
edras-hayate,6.63,4.65,0.7014
annette-tachi,6.55,4.33,0.6611
elandorr-maloch,6.54,2.55,0.3899
tachi-wisp,6.54,4.1,0.6269
violet-zephys,6.53,3.31,0.5069
edras-skud,6.53,3.66,0.5605
dolia-mganga,6.51,2.2,0.3379
toro-yena,6.5,3.41,0.5246
billow-eland'orr,6.47,3.9,0.6028
airi-capheny,6.45,3.12,0.4837
iggy-skud,6.44,4.11,0.6382
billow-ryoma,6.44,3.11,0.4829
dolia-yena,6.44,2.88,0.4472
qi-zephys,6.43,4.45,0.6921
toro-valhein,6.43,1.88,0.2924
dolia-yue,6.42,3.2,0.4984
hayate-zephys,6.41,3.09,0.4821
tachi-ybneth,6.4,4.64,0.725
annette-cresht,6.34,6.01,0.9479
mina-toro,6.33,5.67,0.8957
capheny-chaugnar,6.33,5.33,0.842
hayate-nakroth,6.32,1.55,0.2453
biron-elandorr,6.31,2.44,0.3867
dolia-moren,6.3,1.65,0.2619
qi-tachi,6.3,1.77,0.281
iggy-stuart,6.29,3.53,0.5612
flowborn-tachi,6.24,3.12,0.5
alice-toro,6.23,5.34,0.8571
marja-tamyn,6.23,3.56,0.5714
tachi-wiro,6.22,2.22,0.3569
enzo-hayate,6.22,2.56,0.4116
elsu-toro,6.22,2.45,0.3939
mganga-zephys,6.21,3.89,0.6264
billow-rouie,6.21,3.56,0.5733
airi-sinestrea,6.21,4.33,0.6973
elsu-marja,6.2,2.88,0.4645
liliana-qi,6.2,1.88,0.3032
billow-ignis,6.19,2.21,0.357
hayate-ignis,6.18,1.32,0.2136
capheny-qi,6.18,2.99,0.4838
fennik-rouie,6.16,2.31,0.375
elandorr-fennik,6.16,2.97,0.4821
eland'orr-y'bneth,6.14,4.8,0.7818
alice-violet,6.12,4.45,0.7271
nakroth-stuart,6.1,2.44,0.4
capheny-sinestrea,6.1,5.1,0.8361
annette-thane,6.1,3.44,0.5639
elsu-tachi,6.1,3.22,0.5279
annette-taara,6.09,4.32,0.7094
elandorr-enzo,6.09,3.32,0.5452
wisp-yena,6.09,1.99,0.3268
billow-stuart,6.08,2.2,0.3618
flowborn-skud,6.02,4.46,0.7409
flowborn-lorion,6.02,4.35,0.7226
lorion-nakroth,6.01,0.67,0.1115
astrid-ryoma,6.01,4.23,0.7038
wisp-zephys,6.0,3.11,0.5183
marja-nakroth,5.99,3.1,0.5175
lorion-mina,5.99,2.44,0.4073
marja-zuka,5.99,3.66,0.611
airi-ybneth,5.98,3.21,0.5368
keera-thane,5.98,3.55,0.5936
elandorr-mina,5.98,4.43,0.7408
skud-stuart,5.98,2.88,0.4816
maloch-stuart,5.98,2.21,0.3696
taara-zata,5.97,3.54,0.593
elandorr-mganga,5.97,2.21,0.3702
flowborn-qi,5.92,3.35,0.5659
flowborn-marja,5.9,0.67,0.1136
astrid-cresht,5.9,4.12,0.6983
ryoma-sinestrea,5.89,4.67,0.7929
liliana-maloch,5.89,2.0,0.3396
liliana-thane,5.88,4.22,0.7177
murad-valhein,5.88,3.22,0.5476
lorion-zephys,5.88,1.99,0.3384
enzo-ignis,5.87,1.66,0.2828
elandorr-marja,5.86,3.87,0.6604
ryoma-ybneth,5.85,3.31,0.5658
alice-flowborn,5.79,4.01,0.6926
cresht-sinestrea,5.78,4.67,0.808
airi-rouie,5.77,3.89,0.6742
capheny-keera,5.76,2.11,0.3663
hayate-zuka,5.76,3.98,0.691
mganga-toro,5.74,2.43,0.4233
ignis-ybneth,5.74,2.2,0.3833
keera-ybneth,5.73,0.88,0.1536
eland'orr-marja,5.69,4.24,0.7452
flowborn-iggy,5.69,3.24,0.5694
eland'orr-skud,5.68,4.79,0.8433
liliana-nakroth,5.67,2.89,0.5097
lorion-taara,5.66,3.22,0.5689
enzo-sinestrea,5.66,1.88,0.3322
iggy-teemee,5.65,3.44,0.6088
skud-valhein,5.65,3.99,0.7062
elandorr-yena,5.64,2.43,0.4309
alice-butterfly,5.57,3.79,0.6804
cresht-ryoma,5.56,3.45,0.6205
annette-ryoma,5.55,3.22,0.5802
enzo-ryoma,5.55,2.66,0.4793
mganga-teemee,5.55,3.44,0.6198
mganga-valhein,5.54,1.66,0.2996
biron-enzo,5.54,3.44,0.6209
yue-zephys,5.54,1.77,0.3195
elandorr-zata,5.54,3.1,0.5596
zata-zephys,5.53,1.32,0.2387
tachi-yue,5.53,1.32,0.2387
taara-violet,5.45,2.11,0.3872
airi-keera,5.44,2.11,0.3879
annette-nakroth,5.44,4.11,0.7555
airi-thane,5.44,3.11,0.5717
annette-hayate,5.44,2.33,0.4283
annette-toro,5.44,2.11,0.3879
enzo-lorion,5.43,2.44,0.4494
mganga-taara,5.43,2.21,0.407
marja-yue,5.43,2.54,0.4678
iggy-murad,5.43,1.33,0.2449
lorion-thane,5.43,3.32,0.6114
murad-teemee,5.43,1.55,0.2855
ybneth-zuka,5.42,3.53,0.6513
biron-wisp,5.41,2.99,0.5527
astrid-ybneth,5.34,3.56,0.6667
astrid-mina,5.34,4.45,0.8333
astrid-iggy,5.34,5.34,1.0
astrid-yue,5.34,3.56,0.6667
cresht-taara,5.34,3.67,0.6873
hayate-tamyn,5.34,3.56,0.6667
biron-tamyn,5.34,3.56,0.6667
astrid-zata,5.34,2.67,0.5
tamyn-ybneth,5.34,4.45,0.8333
maloch-zata,5.34,2.45,0.4588
riktor-zata,5.33,2.33,0.4371
annette-ybneth,5.33,2.66,0.4991
taara-teemee,5.32,2.44,0.4586
murad-zephys,5.32,1.22,0.2293
billow-elsu,5.32,2.67,0.5019
rouie-stuart,5.31,3.1,0.5838
keera-stuart,5.31,1.11,0.209
sinestrea-teemee,5.31,2.77,0.5217
mganga-skud,5.3,1.76,0.3321
flowborn-keera,5.24,2.9,0.5534
taara-wiro,5.23,0.89,0.1702
marja-wiro,5.23,2.89,0.5526
violet-wiro,5.23,3.34,0.6386
airi-cresht,5.23,2.45,0.4685
biron-zephys,5.22,2.22,0.4253
liliana-yena,5.21,2.1,0.4031
hayate-mina,5.21,0.89,0.1708
cresht-iggy,5.21,3.55,0.6814
skud-teemee,5.21,1.22,0.2342
biron-iggy,5.21,3.88,0.7447
dolia-ryoma,5.21,3.33,0.6392
ignis-sinestrea,5.21,1.66,0.3186
cresht-hayate,5.21,3.66,0.7025
billow-yue,5.21,1.55,0.2975
qi-thane,5.2,2.44,0.4692
flowborn-rouie,5.13,1.34,0.2612
sinestrea-violet,5.12,3.45,0.6738
butterfly-ignis,5.12,1.67,0.3262
airi-annette,5.1,2.88,0.5647
dolia-elsu,5.1,3.22,0.6314
capheny-enzo,5.1,2.55,0.5
florentino-ignis,5.1,2.1,0.4118
mganga-nakroth,5.1,1.1,0.2157
liliana-omen,5.1,2.32,0.4549
iggy-riktor,5.09,3.1,0.609
keera-marja,5.08,2.32,0.4567
edras-ybneth,5.08,2.54,0.5
hayate-keera,5.08,2.1,0.4134
fennik-tachi,5.07,1.65,0.3254
aya-elandorr,5.06,1.65,0.3261
flowborn-liliana,5.01,0.0,0.0
ignis-violet,5.01,3.45,0.6886
